,section-0-question-0,section-0-question-1,section-0-question-2,section-0-question-3,section-0-question-4,section-0-question-5,section-0-question-6,section-0-question-7,section-0-question-8,section-0-question-9,section-0-question-10,section-1-question-0,section-0-question-11,section-1-question-1,section-0-question-12,section-1-question-2,section-0-question-13,section-1-question-3,section-1-question-4,section-1-question-5,section-1-question-6,section-1-question-7,section-1-question-8,section-1-question-9,section-2-question-0,section-2-question-1,section-2-question-2,section-2-question-3,section-2-question-4,section-2-question-5,section-2-question-6,section-2-question-7,section-2-question-8,section-1-question-10,section-1-question-11,section-1-question-12,section-1-question-13,section-1-question-14
58,3,4,1,1,2,5,4,4,2,5,3,Somewhat agree,5,Neither agree/nor disagree,5,Strongly agree,5,Easier colors to distinguish moving parts?,Somewhat agree,"Nothing, clicking on it seems fast enough.",Somewhat disagree,Somewhat agree,"Nothing, there wasn't many errors.",Somewhat agree,36,Do not wish to share,"Everyday, during a majority of business hours","Everyday, a few hours",PC games,A mouse,None,Mouse buttons,None,"Nothing, anyone with mouse can click on the clock with their cursor.",Strongly agree,Somewhat agree,Somewhat disagree,None
59,5,4,3,4,5,4,5,5,4,3,6,Somewhat agree,5,Somewhat agree,6,Somewhat agree,2,all good,Somewhat agree,all good -easy,Strongly disagree,Strongly agree,easy to return if going in incorrect position,Neither agree/nor disagree,51,Female,"Everyday, during a majority of business hours","Everyday, less than an hour","word /card games, cubis",A mouse,"easy for me to use mouse, not best with track pad",Mouse buttons,,not sure what interface between instrument controlling cursor,Somewhat agree,Strongly disagree,Strongly disagree,all good simple for my purposes
60,5,3,2,3,4,3,5,5,2,1,7,Neither agree/nor disagree,6,Strongly agree,6,Strongly agree,3,The interface is just perfect ,Strongly agree,No improvement.. It's perfect ,Somewhat disagree,Somewhat agree,I did not notice any errors,Neither agree/nor disagree,43,Female,"Everyday, a few hours",Once or twice a week,Football games ,A mouse,I used a mouse to move cursor on my computer,Mouse buttons,I used a mouse ,,Strongly agree,Somewhat disagree,Somewhat disagree,
61,4,4,3,1,3,2,1,3,3,2,4,Neither agree/nor disagree,6,Somewhat agree,6,Strongly agree,2,have blinking instructions the first time for the white wheel,Somewhat agree,USing the keyboard arrows would be easier to move it,Neither agree/nor disagree,Somewhat agree,Somtimes the wheel kept spinning even when I clicked again.,Strongly agree,28,Female,"Everyday, a few hours",Once or twice a week,simms,A mouse,I used a wireless mouse.,Mouse buttons,I used a wireless mouse.,Using the arrow keys would be better.,Strongly agree,Strongly agree,Strongly agree,Make the target a little less transparent.
62,5,6,7,7,6,7,6,7,6,6,5,Somewhat disagree,5,Neither agree/nor disagree,6,Somewhat agree,7,good,Neither agree/nor disagree,good,Strongly disagree,Somewhat disagree,good,Neither agree/nor disagree,25,Male,"Everyday, during a majority of business hours","Everyday, a few hours",gta,A mouse,good,Trackpad buttons,good,god,Neither agree/nor disagree,Somewhat agree,Strongly agree,good
63,5,6,7,7,6,6,5,5,7,7,6,Somewhat agree,6,Somewhat agree,6,Strongly agree,6,well,Strongly agree,yes,Strongly agree,Somewhat agree,like,Somewhat agree,32,Male,"Everyday, during a majority of business hours","Everyday, a few hours",pc,A mouse,like,Mouse buttons,well,nice,Strongly agree,Strongly agree,Somewhat agree,agree
64,7,7,6,7,5,7,6,5,1,1,7,Strongly agree,7,Somewhat agree,7,Strongly agree,4,very high improud,Strongly agree,yes,Somewhat disagree,Neither agree/nor disagree,good,Somewhat agree,36,Male,"Everyday, a few hours","Everyday, less than an hour",online games,A mouse,mouse,Mouse buttons,mouse buttons,good,Strongly agree,Somewhat agree,Neither agree/nor disagree,yes high improved
65,6,6,6,6,6,6,6,5,5,5,6,Neither agree/nor disagree,4,Neither agree/nor disagree,5,Somewhat agree,6,nil,Neither agree/nor disagree,good,Somewhat agree,Somewhat agree,nil,Neither agree/nor disagree,37,Female,"Everyday, a few hours","Everyday, a few hours",pubg,A mouse,nil,Mouse buttons,nil,good,Somewhat agree,Somewhat agree,Somewhat agree,nil
66,6,5,7,6,4,4,7,5,1,1,7,Neither agree/nor disagree,7,Somewhat agree,6,Somewhat agree,4,already improved,Somewhat agree, Already Good improved ,Somewhat agree,Neither agree/nor disagree,N/A,Neither agree/nor disagree,30,Male,"Everyday, a few hours","Everyday, a few hours",sports game,A mouse,correct side move,Mouse buttons,correct side move,N/A,Neither agree/nor disagree,Somewhat agree,Neither agree/nor disagree,Already improved control interface.
67,7,6,7,6,7,6,7,6,7,6,7,Strongly agree,6,Somewhat agree,5,Strongly agree,6,very excellent,Strongly agree,very nice,Strongly agree,Somewhat agree,slow,Strongly agree,42,Female,"Everyday, during a majority of business hours","Everyday, a few hours",pubg,A mouse,nothing,Keyboard,nothing,yes better,Strongly agree,Somewhat agree,Strongly agree,nothing
68,2,2,1,4,1,4,1,4,1,1,3,Strongly agree,7,Strongly agree,4,Strongly agree,2,"It's pretty good, don't think it needs any changes",Strongly agree,the only thing i can think of is to move mouse pointer to the correct position,Strongly disagree,Neither agree/nor disagree,i haven't seen any errors,Neither agree/nor disagree,36,Male,"Everyday, during a majority of business hours",Once or twice a week,"strategies, RPG",A mouse,"mostly mouse, sometimes trackpad",Mouse buttons,"mostly mouse, sometimes trackpad",I'm not sure about this. Not familiar with any ssistive devices,Strongly agree,Strongly disagree,Strongly disagree,"It's pretty easy to use, no changes needed"
69,6,5,6,6,5,6,4,6,2,1,7,Neither agree/nor disagree,6,Somewhat agree,4,Somewhat agree,4,no,Somewhat disagree,no,Neither agree/nor disagree,Neither agree/nor disagree,reducing speed,Somewhat disagree,35,Male,"Everyday, during a majority of business hours","Everyday, less than an hour",pubg,A mouse,no,Mouse buttons,no,nothing,Somewhat agree,Strongly agree,Somewhat agree,no
70,2,2,2,3,3,3,4,3,4,3,5,Somewhat agree,5,Somewhat agree,3,Somewhat agree,4,Very good interface,Somewhat agree,Very good interface,Somewhat disagree,Somewhat agree,Very good interface,Somewhat agree,39,Female,"Everyday, during a majority of business hours",Rarely,,A mouse,,Mouse buttons,,Very good interface,Somewhat agree,Somewhat disagree,Somewhat disagree,
71,7,7,6,7,7,6,7,6,7,6,6,Strongly agree,7,Strongly agree,6,Somewhat agree,7,good,Strongly agree,good,Somewhat agree,Strongly agree,good,Strongly agree,27,Female,"Everyday, during a majority of business hours","Everyday, a few hours",rummy,A mouse,good,Mouse buttons,good,good,Strongly agree,Somewhat agree,Strongly agree,good
72,7,6,7,7,4,6,3,6,1,1,7,Somewhat agree,6,Strongly agree,7,Strongly agree,1,Nil,Strongly agree,Nil,Somewhat agree,Somewhat agree,Nil,Neither agree/nor disagree,28,Male,"Everyday, during a majority of business hours","Everyday, a few hours",Action and Adventurous games,A mouse,Nil,Mouse buttons,Nil,Nil,Somewhat agree,Strongly agree,Somewhat agree,Nil
73,3,3,3,2,2,2,7,6,3,3,5,Somewhat agree,3,Strongly agree,3,Strongly agree,5,"Instead of using just the mouse, perhaps a keyboard could be used as well. A key could be pressed to engage movement along an axis. For example, hold down the A key to move the object along the x axis while moving the mouse. Once the key is released, the movement stops.",Somewhat agree,"Perhaps instead of clicking on the portions of the object that needs to be controlled, they could be instead bound to a key on the keyboard for a quick selection. For instance, press 1 to move along the x axis, 2 for the y axis, and 3 for rotation.",Somewhat agree,Strongly agree,Perhaps guide lines could be projected from the x and y axis arrows to make it easier to target the object. e.g. picture an arrow like this:  â†’-----------,Somewhat disagree,37,Male,"Everyday, during a majority of business hours","Everyday, less than an hour",RPGs,A mouse,The mouse I used was a Logitech MX Master.,Mouse buttons,It's just a standard mouse and therefore nothing out of the ordinary about it.,Perhaps averaging inputs could be helpful for people who have issues with fine motor control (e.g. shaky mouse movements could be smoothed out) .,Strongly agree,Somewhat agree,Somewhat disagree,Perhaps the display field could be shown in a grid to help with the navigation of the object (it would be easier to align with the columns and rows of the grid).
74,7,5,6,7,6,7,6,4,6,7,6,Neither agree/nor disagree,7,Somewhat agree,6,Neither agree/nor disagree,7,Something improve this survey for my opinion.,Strongly agree,All object is good working,Somewhat disagree,Neither agree/nor disagree,Nothing for reduce errors,Somewhat agree,30,Male,"Everyday, a few hours","Everyday, less than an hour",Laptop,A mouse,Nothing mouse for very easily using ,Mouse buttons,like mouse button,good ,Somewhat agree,Neither agree/nor disagree,Somewhat agree,Slider also one click only using this survey.
75,6,4,3,6,5,4,4,3,3,2,5,Somewhat agree,6,Strongly agree,6,Somewhat agree,3,it's enough good,Somewhat agree,Make faster,Somewhat agree,Somewhat agree,there is no error,Somewhat agree,32,Female,"Everyday, during a majority of business hours",Once or twice a week,fighting games,A mouse,I am using mouse to move cursor,Mouse buttons,i am using mouse button for clicking,already good accessible,Somewhat agree,Somewhat disagree,Somewhat disagree,no
76,2,1,1,4,3,4,5,6,2,1,4,Strongly agree,6,Strongly agree,5,Strongly agree,2,"I think it was incredibly intuitive. As long as the instructions are clear as they were here (the video helped) I think pretty much anyone could get it (Instructions need to be clear as, had I just seen the interface with no clear instructions and practice, I would have thought you'd need to drag the circle to the correct spot, which would have been very hard.)",Strongly agree,"I couldn't think of a faster interface than a simple click! I really like the interface, but maybe making the ring slightly larger would help. There were times I was trying to click on the ring and just barely hit the inside of the ring, enough to move the whole thing.",Somewhat disagree,Somewhat agree,"The only errors I encountered, as I said, were in relation to accidentally clicking on the interior rather than the ring. Making the ring a bit bigger would help that.",Somewhat agree,49,Female,"Everyday, during a majority of business hours","Everyday, a few hours","first person shooters (Borderlands, COD), RPGs (Skyrim, etc), a huge variety of VR games (Oculus Rift)",A trackpad,"Nothing I can think of. It's a simple laptop trackpad, works fine, sensitivity tuned to my liking.",Trackpad buttons,Nothing I can think of. Just an average laptop trackpad.,"As I said, making the ring slightly larger would help. It could help prevent clicking on the interior rather than the ring by accident.This might be especially irritating for someone using an assistive device.",Strongly agree,Somewhat disagree,Somewhat disagree,"As I said, the only real issue I had was the size of the ring. Other than that, it was very interesting, and rather simple to use. The point and click system is easy (as opposed to click and drag, which would have made it a nightmare!)"
77,6,2,2,6,2,4,6,5,2,1,6,Somewhat agree,6,Strongly agree,7,Somewhat agree,3,improve fast move target,Somewhat agree,very fast move target,Somewhat agree,Strongly agree,reduce error perfectly,Somewhat agree,30,Male,"Everyday, less than an hour","Everyday, a few hours","tetris,pong",A mouse,no,Mouse buttons,no,target move access fastly accesss,Somewhat agree,Somewhat agree,Strongly agree,no
78,7,5,6,7,5,7,6,5,2,1,7,Somewhat agree,7,Neither agree/nor disagree,3,Somewhat agree,4,practice,Somewhat agree,practice,Somewhat agree,Strongly agree,na,Somewhat agree,28,Male,"Everyday, during a majority of business hours","Everyday, a few hours",race,A mouse,mouse,Mouse buttons,mouse,na,Somewhat agree,Neither agree/nor disagree,Somewhat agree,na
79,1,1,1,1,1,1,3,7,2,2,1,Somewhat agree,7,Strongly agree,6,Strongly agree,1,I can't really think of anything. Maybe click and drag instead of one click on one click off,Somewhat agree,"Again, click and drag is more precise",Somewhat disagree,Neither agree/nor disagree,"Again, click and drag is easier to fix errors. less clicks",Neither agree/nor disagree,29,Male,"Everyday, during a majority of business hours","Everyday, a few hours",MOBA and MMORPG's,A mouse,,Mouse buttons,It occasionally double clicks on accident,I really have no idea I have no idea what an assistive device is,Strongly agree,Neither agree/nor disagree,Somewhat agree,Nothing else I can think of besides switching to click and drag
80,7,5,7,6,7,6,7,6,1,1,7,Strongly agree,6,Somewhat agree,6,Strongly agree,5,Yes,Strongly agree,Yes,Strongly agree,Somewhat agree,yes,Strongly agree,34,Female,"Everyday, a few hours","Everyday, a few hours",yes,A mouse,I am mostly use for the mouse,Mouse buttons,This clicking for mostly,yes,Strongly agree,Somewhat agree,Strongly agree,Yes
81,7,7,1,7,7,7,7,7,7,7,7,Somewhat disagree,2,Strongly agree,2,Somewhat agree,7,unsure,Strongly agree,unsure,Strongly agree,Strongly agree,unsure,Strongly agree,35,Male,"Everyday, during a majority of business hours",Once or twice a week,magic the gathering DOTA 2,A mouse,its a track ball mouse,Mouse buttons,,unsure,Neither agree/nor disagree,Neither agree/nor disagree,Neither agree/nor disagree,unsure
82,7,6,7,6,7,6,7,6,7,7,7,Strongly agree,6,Strongly agree,7,Strongly agree,7,yes interface improved ,Strongly agree,yes faster,Strongly agree,Strongly agree,yes reduce in my errrors,Somewhat agree,55,Female,"Everyday, during a majority of business hours","Everyday, less than an hour",puzzle,A mouse,yes,Mouse buttons,yes clicking in the option,yes improved,Strongly agree,Strongly agree,Somewhat agree,yes control the inerface
83,4,3,2,4,3,4,4,3,5,2,4,Somewhat agree,4,Somewhat agree,3,Somewhat agree,3,it is better,Somewhat agree,some people are accept,Somewhat agree,Somewhat agree,some people was agree the control interface,Somewhat agree,43,Female,"Everyday, a few hours","Everyday, less than an hour",horror games,A pointing stick,move to the cursor on pointing stick to achieve a goal,Mouse buttons,use mouse drag the pointing stick,it is somewhat improve is better,Somewhat agree,Somewhat agree,Somewhat agree,somewhat improve
84,4,1,2,4,1,3,5,7,1,1,2,Strongly agree,7,Somewhat agree,7,Somewhat agree,7,positive,Neither agree/nor disagree,fast move mouse,Neither agree/nor disagree,Neither agree/nor disagree,clearly,Somewhat agree,55,Male,"Everyday, during a majority of business hours","Everyday, a few hours",shooting games,A mouse,mouse,Mouse buttons,no,change mouse position,Strongly agree,Somewhat agree,Somewhat agree,yes
85,7,7,6,6,5,7,7,5,1,5,7,Strongly agree,7,Somewhat agree,6,Somewhat agree,7,good,Strongly agree,good,Somewhat agree,Somewhat agree,good,Strongly agree,64,Female,"Everyday, during a majority of business hours","Everyday, a few hours",action,A mouse,nothing,Mouse buttons,nothing,nothing,Strongly agree,Somewhat agree,Somewhat agree,nothing
86,5,4,6,3,6,4,6,1,2,4,4,Somewhat agree,5,Neither agree/nor disagree,4,Somewhat agree,4,YES,Neither agree/nor disagree,YES,Neither agree/nor disagree,Somewhat agree,NO,Somewhat agree,35,Male,"Everyday, a few hours","Everyday, less than an hour", PUBG,A trackpad,YES,Keyboard,YES,YES,Somewhat agree,Neither agree/nor disagree,Somewhat agree,NO
87,2,2,2,2,2,3,2,4,2,2,2,Somewhat agree,6,Strongly agree,6,Strongly agree,2,allow keyboard use with trackpad and mouse,Somewhat agree,mouse sensitivity is important to be adaptable,Strongly disagree,Strongly agree,allow rotating and lateral movement simultaneously,Strongly agree,37,Male,"Everyday, during a majority of business hours",Rarely,sports,A mouse,trackpad and mouse,Mouse buttons,,keyboard inputs and hotkeys,Strongly agree,Somewhat agree,Somewhat agree,dotted line extending beyond arrow
88,6,5,4,4,4,5,5,6,6,7,6,Somewhat agree,4,Neither agree/nor disagree,5,Somewhat agree,5,i think its a perfect explanation,Strongly agree,precise and soft,Somewhat disagree,Somewhat agree,yes very gently,Somewhat agree,42,Male,"Everyday, during a majority of business hours","Everyday, a few hours","call of duty, counter strike",A mouse,very precise and soft,Mouse buttons,very easy to use,very easy to move,Somewhat agree,Strongly agree,Somewhat agree,i dont think so its a perfect form
89,2,2,2,1,1,1,2,2,3,3,5,Strongly agree,7,Strongly agree,7,Strongly agree,2,"I don't know, maybe if the crosshair turned green when you were in the center of the target before you clicked?",Somewhat agree,If it were two seperate clicks to place then rotate maybe?,Somewhat disagree,Somewhat agree,"I don't know, truly, I didn't feel like I had that many errors, it was literally no big deal to fix them.",Somewhat agree,28,Male,"Everyday, during a majority of business hours",Rarely,"Fortnite, Minecraft",A trackpad,,Trackpad buttons,,"It would be slower, but fine, I think.",Strongly agree,Strongly disagree,Strongly disagree,"No, nothing else."
90,4,5,3,4,5,4,5,5,5,5,5,Somewhat agree,6,Neither agree/nor disagree,5,Strongly agree,3,no,Somewhat agree,no,Neither agree/nor disagree,Strongly agree,no,Neither agree/nor disagree,45,Male,"Everyday, a few hours",Once or twice a week,Good,A mouse,Good,Mouse buttons,Good,no,Somewhat agree,Neither agree/nor disagree,Somewhat agree,no
91,2,3,4,6,5,4,5,2,3,3,5,Somewhat disagree,6,Neither agree/nor disagree,5,Somewhat disagree,3,OK,Somewhat disagree,OK,Neither agree/nor disagree,Somewhat agree,OK,Somewhat disagree,47,Female,Once or twice a week,"Everyday, a few hours",GOOD,A mouse,GOOD,Keyboard,GOOD,OK,Neither agree/nor disagree,Somewhat agree,Neither agree/nor disagree,OK
92,3,2,1,2,2,3,1,1,3,3,1,Somewhat agree,7,Somewhat agree,5,Somewhat agree,2,It could be designed so the inner circle controls the line and the outer ring around it controls the actual circle that needs to be moved to the target.,Somewhat agree,"It could be one solid interface that only needs to be clicked, dragged, and controlled once.",Somewhat disagree,Somewhat agree,It could be more in line with what you are doing on your trackpad or mouse.,Neither agree/nor disagree,26,Male,"Everyday, during a majority of business hours",Rarely,"Platformers, chess, Tetris",A trackpad,,Trackpad buttons,,,Strongly agree,Strongly agree,Strongly agree,The shape of the object could be changed to make it larger to make a larger space to reach the object.
93,6,5,7,5,6,4,6,5,6,5,6,Neither agree/nor disagree,4,Somewhat agree,5,Neither agree/nor disagree,5,"When we say something is intuitive, it means that something easy to use. We don't have to spend time reading instruction manuals to figure out how it works, we just use it, and it works. It's simple. Intuitive is a quality that every designer strives for in their work.",Somewhat agree," There are many techniques involved in crafting beautiful and functional interfaces. ... With quick wins and long strategies to start improving conversion tomorrow. ... Fading the extras allows visitors to easily focus their attention on the ... These hover controls can be achieved with some simple CSS code,",Neither agree/nor disagree,Somewhat agree,"Good design should help prevent such mismatches between the ... Southwest Airlines mobile site calendar interface.Keep the interface simple. ...
Create consistency and use common UI elements. ...
Be purposeful in page layout",Somewhat disagree,28,Female,"Everyday, during a majority of business hours","Everyday, a few hours",hp,A mouse,"The pointer or mouse cursor echoes movements of the pointing device, commonly a mouse, touchpad or trackball. This kind of cursor is used to manipulate elements of graphical user interfaces such as menus, buttons, scrollbars or any other widget.",Mouse buttons,mouse,"Choose a content management system that supports accessibility. ...
Use headings correctly to organize the structure of your content. ...
Include proper alt text for images. ...
Give your links unique and descriptive names. ...
Use color with care",Neither agree/nor disagree,Somewhat agree,Neither agree/nor disagree,n/a
94,5,5,7,7,5,7,5,7,3,7,5,Somewhat agree,7,Somewhat agree,5,Somewhat agree,7,more smoothness needed,Somewhat agree,object tracking should be more smotther,Somewhat agree,Somewhat agree,The objects are in different places. Itss hould be kept in a same place,Somewhat agree,33,Female,"Everyday, during a majority of business hours","Everyday, less than an hour",strategy,A mouse,click on the centre and move ,Mouse buttons,click on the centre and move ,more smoother and faster,Somewhat agree,Somewhat agree,Somewhat agree,should be more attractive
95,7,1,2,4,3,4,4,3,5,3,2,Somewhat agree,4,Strongly agree,6,Somewhat agree,5,the clock size may be increased a bit ,Strongly agree,it is having an adequate efficient control,Somewhat disagree,Neither agree/nor disagree,simple designing of interface can reduce most of the errors,Strongly agree,38,Female,"Everyday, during a majority of business hours",Once or twice a week,racing games ,A mouse,i used optical mouse to move the cursor ,Mouse buttons,for clicking on computer i always use mouse buttons ,it is easy to access and that is enough ,Strongly agree,Somewhat disagree,Somewhat disagree,rotation of a circle can be reduce
96,7,6,7,7,7,6,6,7,1,6,6,Strongly agree,7,Somewhat agree,7,Strongly agree,7,good,Strongly agree,good,Strongly agree,Somewhat agree,good,Strongly agree,22,Female,"Everyday, during a majority of business hours","Everyday, a few hours",action,A mouse,nothing,Mouse buttons,nothing,nothing,Strongly agree,Somewhat agree,Strongly agree,nothing
97,6,7,6,7,6,7,6,7,6,6,6,Strongly agree,6,Somewhat agree,5,Strongly agree,6,In this post I will try to shed some light on the hidden facets of intuitive user interface.,Strongly agree,There are many techniques involved in crafting beautiful and functional interfaces.,Neither agree/nor disagree,Somewhat agree,Good design should help prevent such mismatches between the .,Somewhat agree,26,Male,Once or twice a week,Once or twice a week,pubg,A mouse,is widely applied in user experience (UX) and user interface,Mouse buttons,"design is the process designers use to build interfaces in software or computerized devices,","Designlab is a part-time, online course that helps you improv",Somewhat agree,Strongly agree,Somewhat agree,"We can do this by adding padding and, in some cases,"
98,7,6,7,6,7,6,7,6,1,1,7,Strongly agree,6,Somewhat agree,7,Strongly agree,1,it is very improved,Strongly agree,yes it is very controlled,Strongly agree,Somewhat agree,Yes very quickly ,Strongly agree,48,Male,"Everyday, during a majority of business hours","Everyday, a few hours",Class of clans,A mouse,Mouse only,Mouse buttons,Right and Left click,yes it is better,Strongly agree,Somewhat agree,Strongly agree,yes it is control  to other interface
99,6,2,6,3,1,4,4,6,1,1,2,Neither agree/nor disagree,5,Somewhat agree,6,Strongly agree,5,Mind set to do that very easily,Strongly agree,without any interface and control our mindset to do this game has fast and easy,Somewhat disagree,Neither agree/nor disagree,very easy to control arrows and clock,Neither agree/nor disagree,68,Male,"Everyday, a few hours",Once or twice a week,"arcade,Race ",A mouse,using a mouse button to click arrow and move that so it is very easily to finish,Mouse buttons,using a mouse button to click clock and move that so it is very easily to finish,More practice to do that,Neither agree/nor disagree,Somewhat disagree,Neither agree/nor disagree,more and more practice to easy
100,5,5,3,5,5,4,6,6,2,2,5,Strongly agree,5,Strongly agree,3,Strongly agree,4,Maybe the green arrows could use some text to address which way the symbol turns.,Strongly agree,Maybe controls to adjust the speed at which the object moves.,Strongly disagree,Neither agree/nor disagree,The controls worked were perfectly fine.,Neither agree/nor disagree,34,Male,"Everyday, during a majority of business hours","Everyday, a few hours",I play multiplayer online battle arena video games.,A mouse,Not applicable.,Mouse buttons,Not applicable.,I don't think I could provide input regarding this aspect of the controls.,Strongly agree,Strongly disagree,Strongly disagree,I don't see other ways you could improve the control interface other than the suggestions I've stated above.
