,section-0-question-0,section-0-question-1,section-0-question-2,section-0-question-3,section-0-question-4,section-0-question-5,section-0-question-6,section-0-question-7,section-0-question-8,section-0-question-9,section-0-question-10,section-1-question-0,section-0-question-11,section-1-question-1,section-0-question-12,section-1-question-2,section-0-question-13,section-1-question-3,section-1-question-4,section-1-question-5,section-1-question-6,section-1-question-7,section-1-question-8,section-1-question-9,section-2-question-0,section-2-question-1,section-2-question-2,section-2-question-3,section-2-question-4,section-2-question-5,section-2-question-6,section-2-question-7,section-2-question-8,section-1-question-10,section-1-question-11,section-1-question-12,section-1-question-13,section-1-question-14,uid,sid,control,transitionType,interfaceID
45,1,1,1,2,1,2,2,3,4,3,1,Strongly agree,7,Strongly agree,7,Strongly agree,2,"I honestly do not have any suggestions to make it more intuitive, it is already great!",Strongly agree,Make it so that we can just drag and drop the object instead of having to click it twice. ,Somewhat disagree,Strongly agree,Allow people to drag and drop the objects.,Neither agree/nor disagree,24,Male,"Everyday, during a majority of business hours","Everyday, a few hours",League of Legends,A mouse,I just use a regular mouse.,Mouse buttons,I am just using regular mouse buttons.,I don't know because I am not too familiar with assistive devices. ,Neither agree/nor disagree,Somewhat agree,Somewhat agree,I have no other suggestions on how to improve it.,CW8xwsKYxlVWnPbMxeZLUkHeH9j1,-MGz-ADFoRnvy570bGZ3,drag,click,drag-click
46,3,3,2,3,2,4,4,4,4,3,3,Somewhat disagree,4,Neither agree/nor disagree,4,Strongly agree,5,an arrow around the outside of the interface,Somewhat agree,no idea,Somewhat disagree,Neither agree/nor disagree,the errors were human errors not interface errors,Somewhat agree,38,Male,"Everyday, during a majority of business hours",Once or twice a week,"role playing, sports",A mouse,I almost always prefer a mouse,Keyboard,I strongly prefer a keyboard,touch screen,Neither agree/nor disagree,Somewhat agree,Neither agree/nor disagree,no,CYntsPPlB2MPy5a1ceN1C0OaUpl2,-MHOCGmtyK0UIu-9DOtb,drag,press/release,drag-press/release
47,5,4,2,3,3,2,3,3,4,3,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,5,faster paced,Neither agree/nor disagree,n/a,Strongly disagree,Strongly agree,unsure,Somewhat agree,32,Female,"Everyday, a few hours",Once or twice a week,adventure games,A trackpad,it would have been easier with the mouse,Trackpad buttons,n/a,n/a,Somewhat agree,Neither agree/nor disagree,Neither agree/nor disagree,n/a,CZaTC4126cTVm3OvKYDjiMwaNVD2,-MGzUoahlJH1cBf-sfGr,target,click,target-click
48,6,5,6,6,7,5,6,5,6,6,5,Strongly agree,6,Somewhat agree,6,Strongly agree,5,good,Strongly agree,good,Somewhat disagree,Neither agree/nor disagree,like,Strongly agree,23,Male,"Everyday, less than an hour","Everyday, a few hours",gta,A mouse,mouse,Mouse buttons,buttons is so quick,good cursor,Somewhat agree,Somewhat agree,Somewhat agree,none,CoupVjaX2wgntMiU1CWu4noeeUS2,-MHORb7es0-YLOsnTXDB,targetdrag,click,targetdrag-click
49,6,4,6,5,4,5,4,5,4,4,3,Somewhat agree,5,Neither agree/nor disagree,7,Strongly agree,3,I confused on that circle,Strongly agree,By moving the cursor fast,Strongly agree,Somewhat agree,Improving the acquiracy,Strongly agree,29,Male,"Everyday, during a majority of business hours",Once or twice a week,Adventure games,A trackpad,I am using the mouse pad in my laptop I fell comfortable with it,Trackpad buttons,I like to type with my little keyboard fits to my hand,It's all about the concentration,Somewhat agree,Neither agree/nor disagree,Strongly agree,It's already good,D1lyyxyOAwem7zh9U1z6PAVGwNq2,-MHOIP5gBfiBK0NH5YmD,drag,click,drag-click
50,2,1,1,2,1,1,1,5,2,1,2,Somewhat agree,6,Strongly agree,6,Strongly agree,2,There is honestly nothing to be improved.,Strongly agree,Allow to click without any rotation needed.,Strongly disagree,Neither agree/nor disagree,There were no errors at all so nothing to be changed.,Somewhat agree,33,Male,"Everyday, during a majority of business hours",Once or twice a week,Fighting and shooting,A trackpad,NA,Trackpad buttons,NA,NA,Strongly agree,Strongly disagree,Neither agree/nor disagree,NA,DNj5cg13xHcwGkIFyohU0fZ1K7u2,-MHO22qXt_b0gejrjDyU,targetdrag,press/release,targetdrag-press/release
51,4,3,3,3,3,4,5,5,2,2,5,Somewhat agree,7,Somewhat agree,7,Strongly agree,1,The interface worked perfectly.,Strongly agree,It is efficient in its current state. I don't know how it could be made faster.,Strongly disagree,Neither agree/nor disagree,"Once I learned how to move the object, I experienced very few errors.",Strongly agree,44,Female,"Everyday, during a majority of business hours",Rarely,Puzzles,A mouse,,Mouse buttons,,I can't think of a way accessibility could be improved. It works well as it is.,Strongly agree,Strongly disagree,Strongly disagree,No.,DUKO1WhYbYcyoRuPVucq0bWh8d22,-MGz3oj5v942gahfqSvV,targetdrag,click,targetdrag-click
52,5,3,3,4,2,2,2,5,3,3,5,Neither agree/nor disagree,6,Strongly agree,6,Strongly agree,2,Have it move diagonal ,Neither agree/nor disagree,Moving diagonal instead of just up and down and left and right,Strongly disagree,Neither agree/nor disagree,I didnt notice errors,Somewhat agree,44,Male,"Everyday, during a majority of business hours","Everyday, a few hours",runescape.. and mobile games,A mouse,just a mouse,Mouse buttons,just a mouse,I dont know what this means,Strongly agree,Somewhat agree,Somewhat disagree,JUst the diagonal movement,EARmM2WaL7R4iNDuXWQqLt8hFdO2,-MGz1H-IKf8c5bjXbMaK,arrow,press/release,arrow-press/release
53,1,1,1,1,1,1,1,4,1,7,1,Strongly agree,4,Strongly agree,3,Strongly agree,4,remove the 3 second restriction,Strongly agree,"none, it's perfect",Strongly disagree,Strongly agree,it's perfect as it is,Strongly agree,39,Male,"Everyday, during a majority of business hours",Once or twice a week,first person shooters,A mouse,i use a regular mouse connected to my computer,Mouse buttons,i use s standard 3 button mouse,i think it's perfect,Strongly agree,Somewhat agree,Strongly disagree,remove the 3 second restriction,EGvmjs0KWjYQZAva1LkPSkpW1Xx2,-MHOOUZco_rRs2iqOhGC,drag,press/release,drag-press/release
54,3,2,1,1,1,1,1,4,3,2,3,Strongly agree,6,Strongly agree,6,Strongly agree,2,"Maybe somehow use the motion of your mouse to control. I don't know, the control were pretty intuitive.",Strongly agree,Sometimes it felt like there was a slight delay when I click and when the target moves.,Somewhat disagree,Strongly agree,"Just eliminate the bugs, I have no idea how to improve this interface.",Neither agree/nor disagree,30,Male,"Everyday, a few hours",Rarely,Nowadays I only play solitaire once in a while.,A mouse,A wireless logitech mouse,Mouse buttons,A wireless logitech mouse,,Strongly agree,Neither agree/nor disagree,Neither agree/nor disagree,none,EMImW6QAk5O2YrlCrBxPvgSbfUT2,-MGyprPi2Ljngn7O31Vg,panel,press/release,panel-press/release
55,2,2,3,1,2,4,4,5,1,1,2,Somewhat agree,3,Somewhat agree,5,Strongly agree,5,na,Strongly agree,na,Strongly disagree,Strongly agree,na,Strongly agree,36,Male,"Everyday, during a majority of business hours",Once or twice a week,sport,A trackpad,,Trackpad buttons,,na,Strongly agree,Strongly agree,Strongly disagree,,EdzR0H042xMKjt87BDjVqsDe15G2,-MHOG17_y1DL4pw_OLVS,targetdrag,press/release,targetdrag-press/release
56,3,2,1,1,1,1,2,4,2,1,3,Somewhat agree,2,Strongly agree,6,Strongly agree,2,"It was easy to understand, so no real need for improvements.",Strongly agree,Maybe less of a delay after clicking.,Strongly disagree,Strongly agree,"It's pretty accurate, so I don't think there would be any need for improvement.",Neither agree/nor disagree,43,Male,"Everyday, during a majority of business hours",Once or twice a week,Puzzle or platformers.,A mouse,,Mouse buttons,,I'm not sure.,Strongly agree,Neither agree/nor disagree,Somewhat disagree,"I didn't have any problems on my end to be honest, so I think you are all set.",EfDJOGpPiRfdMXkwgPqv5xSUd5W2,-MGyn4vB_OBwFtTEo2Zd,target,click,target-click
57,7,6,7,6,7,6,6,7,2,2,7,Strongly agree,6,Somewhat agree,7,Strongly agree,6,the interface  be improved is very important and good tasks intuitive is good,Strongly agree,the interface improved to allow faster control  is very good improved ,Somewhat agree,Somewhat agree,the interface errors is nothing ,Strongly agree,30,Male,"Everyday, during a majority of business hours","Everyday, a few hours",the  computer games  is very good types ,A mouse,no,Mouse buttons,no,the interface interface  is very important and good,Strongly agree,Somewhat agree,Strongly agree,the control interface  improved is very good,F9yq1WkyOYMIXz46qNvN8nbB28P2,-MGz-G_VjZGXLGXWlIG7,drag,click,drag-click
58,5,2,4,7,5,3,5,5,4,5,7,Somewhat disagree,5,Strongly agree,3,Somewhat agree,4,everything was fine,Strongly disagree,interface can be changed into analog in joystick,Somewhat agree,Somewhat disagree,no comments,Somewhat agree,29,Male,"Everyday, during a majority of business hours",Once or twice a week,,A mouse,,Mouse buttons,,no idea,Somewhat disagree,Somewhat agree,Neither agree/nor disagree,no,FW3Yuwzp1SYQ49D5xy5r53ewMIg1,-MHO4c_ubERTbqnK6UlA,panel,press/release,panel-press/release
59,1,1,1,2,2,2,2,4,2,1,1,Strongly agree,7,Strongly agree,7,Strongly agree,1,all good,Strongly agree,great no cahnge neccesary,Strongly disagree,Strongly agree,it s great now,Strongly agree,70,Male,"Everyday, during a majority of business hours",Once or twice a week,solitairte,A mouse,mouse which is quite flexible,Mouse buttons,left button on mouse,great now,Strongly agree,Strongly agree,Strongly disagree,all good,Fpla1OhHd9gJI5flRJhaU3ZMXYD3,-MGz0emxc84--gg2SHLq,drag,press/release,drag-press/release
60,5,5,5,3,4,3,5,3,1,2,5,Somewhat agree,4,Strongly agree,5,Strongly agree,4,"Not that I can think of, it was fine.",Strongly agree,It can be improved with no beginning countdown.,Strongly disagree,Somewhat agree,There weren't any errors that I could see.,Somewhat agree,56,Female,"Everyday, during a majority of business hours",Once or twice a week,"tetris, solitare",A mouse,its a wireless mouse connected to the laptop via Bluetooth.,Mouse buttons,its a wireless mouse connected to the laptop via Bluetooth.,I was using my mouse but I think it could be used on just touch itself.,Strongly agree,Somewhat agree,Neither agree/nor disagree,None that I could add.,GeXWWMLh1CMHop6zdq0fK1j4HlQ2,-MGswqlITL6Y7gDQUF8-,panel,click,panel-click
61,6,3,4,7,1,2,5,6,2,4,3,Neither agree/nor disagree,6,Somewhat disagree,5,Strongly agree,7," In other words, we find something intuitive when we don't have to think about it",Somewhat agree,Clear communication between the user and the computer is the working premise of good UI,Somewhat disagree,Somewhat agree,"A good interface makes it easy for users to tell the computer what they want to do, for the computer to request information",Neither agree/nor disagree,42,Male,"Everyday, a few hours","Everyday, less than an hour",Action games,A mouse,This enables the menus to try and stick to the limits of the short term memory capacity of chunks,Keyboard, i have a just work in mouse.,"t encompasses all disabilities, or functional limitations, including visual, auditory,",Somewhat disagree,Somewhat agree,Strongly agree,Strategically use color and texture,GfiuoLJc3KVBewklK4WX1Lf2Tr22,-MHOOmH921GD1Lhix2WY,arrow,click,arrow-click
62,2,2,2,2,2,2,2,2,1,1,7,Strongly agree,7,Strongly agree,7,Strongly agree,1,not sure,Strongly agree,bigger pictures,Strongly disagree,Strongly agree,bigger pictures,Strongly agree,30,Male,"Everyday, during a majority of business hours",Once or twice a week,minecraft,A mouse,wireless mouse,Mouse buttons,wireless mouse,bigger pictures,Strongly agree,Strongly disagree,Strongly disagree,bigger pictures,GlxpXIvq35MWVXcFQdP2xKGDqSs2,-MGt7bVk9Ru0N9TNwfx2,panel,press/release,panel-press/release
63,1,1,1,1,1,1,1,4,1,1,3,Strongly agree,7,Strongly agree,7,Strongly agree,1,"No, there is nothing that needs to be improved upon.",Strongly agree,There is nothing that I can think of that needs done.,Strongly disagree,Strongly agree,There is nothing that I can think of that needs done.,Strongly agree,55,Male,"Everyday, during a majority of business hours",Rarely,N/S,A mouse,I'm using a regular pc mouse.,Mouse buttons,None,Probably a faster response to actions.,Strongly agree,Strongly disagree,Strongly disagree,None,GqJD0eoIhBg7VLK23y02owgppS33,-MHO3i8UDO2TtlpeKCb1,panel,click,panel-click
64,6,6,4,2,2,4,3,6,3,1,6,Strongly agree,6,Strongly agree,5,Strongly agree,2,Not moving as fast from side to side or up and down,Strongly agree,"Not pressing on and off, too much clicking",Strongly disagree,Strongly agree,Stop when it goes green instead of continuing,Neither agree/nor disagree,27,Female,"Everyday, during a majority of business hours","Everyday, less than an hour",Nintendo Switch games and simulation games,A mouse,,Mouse buttons,,I am not sure,Strongly agree,Strongly agree,Strongly agree,None,GvW4ClI2A5ViIZwtDXabjh20F4h1,-MGt-vlZc3j0ebtt9Mgl,panel,click,panel-click
65,7,5,7,7,5,7,6,5,7,5,7,Neither agree/nor disagree,7,Strongly agree,6,Somewhat agree,7,good,Somewhat agree,nice and love,Somewhat disagree,Neither agree/nor disagree,none,Strongly agree,30,Male,"Everyday, during a majority of business hours","Everyday, a few hours",free fire,A mouse,very good,Mouse buttons,nice,good,Somewhat agree,Strongly agree,Somewhat agree,nothing.is a very good,HTlUsLj8LGYNlEdtEVdzWtiaiQq2,-MHOMfahAtu3GyYPbLJa,targetdrag,press/release,targetdrag-press/release
66,1,1,1,1,1,2,1,4,6,6,1,Strongly agree,1,Strongly agree,1,Strongly agree,1,I thought it worked well as it is.,Strongly agree,I have nothing to add.,Somewhat disagree,Strongly disagree,Nothing- it worked very well for me.,Neither agree/nor disagree,38,Male,"Everyday, during a majority of business hours","Everyday, less than an hour",,A mouse,,Mouse buttons,,,Somewhat agree,Strongly disagree,Somewhat agree,,HZwhbfP5r0WNut8XVO4H32n60Bo2,-MHOs3_6FfdjHHROoPMy,drag,click,drag-click
67,6,5,7,6,4,6,7,5,5,6,7,Somewhat agree,6,Somewhat agree,6,Strongly agree,6,nice,Strongly agree,like,Somewhat agree,Somewhat agree,nice,Strongly agree,31,Male,"Everyday, during a majority of business hours","Everyday, a few hours",coc,A mouse,n/a,Mouse buttons,like,yes,Somewhat agree,Somewhat agree,Strongly agree,well,I5AbbXfgOndQUXtIg7SkrC251Vt2,-MGsnf3uujXq5UDkAsid,target,click,target-click
68,4,4,3,2,4,4,5,5,2,2,4,Somewhat agree,6,Strongly agree,5,Strongly agree,2,I would have liked to be able to control the arrows with my keyboard.,Strongly agree,"The object should have stopped moving immediately after I hit the keys to stop the movement, but there was a slight delay.",Somewhat disagree,Strongly agree,N/A,Somewhat agree,25,Female,"Everyday, during a majority of business hours",Rarely,Simulation games (e.g. The Sims),A trackpad,,Trackpad buttons,,,Strongly agree,Strongly agree,Somewhat agree,,IDZLjdW1SkQrSnAOXBLuMtkynGJ2,-MHO1ZnoXxFVi7TM71DO,panel,click,panel-click
69,5,6,5,6,5,4,7,5,6,6,6,Neither agree/nor disagree,4,Somewhat agree,6,Neither agree/nor disagree,4,really dont know,Neither agree/nor disagree,really dont know,Neither agree/nor disagree,Somewhat agree,really dont know,Neither agree/nor disagree,30,Male,"Everyday, a few hours","Everyday, a few hours",action game,A mouse,no,Mouse buttons,i think no  relevant,really dont know,Neither agree/nor disagree,Somewhat agree,Neither agree/nor disagree,really dont know,IU8vhE2DSoNlAhbbA8tKK5kFLL73,-MHO15xy_5Bf537ZA0UG,targetdrag,press/release,targetdrag-press/release
70,6,7,7,7,5,7,6,4,2,2,5,Strongly agree,6,Somewhat agree,4,Strongly agree,5,no more Improved the intuitive,Neither agree/nor disagree,Not improved to allow faster control of the object,Neither agree/nor disagree,Neither agree/nor disagree,No The error,Neither agree/nor disagree,49,Male,"Everyday, a few hours","Everyday, a few hours",Yes ,A mouse,,Mouse buttons,,No then cutter the accessibility,Somewhat agree,Somewhat agree,Somewhat agree,not About the improved,IdO3xZ9NEUMJsPUPsLHAQPHxVuo2,-MGt5gzdb-qSbuhMD7JI,arrow,click,arrow-click
71,5,7,5,6,5,6,5,5,6,5,5,Strongly agree,5,Neither agree/nor disagree,6,Somewhat agree,7,All are great,Strongly agree,slightly improve the speed.,Somewhat disagree,Somewhat agree,no errors,Somewhat agree,25,Female,"Everyday, during a majority of business hours","Everyday, less than an hour",Action,A mouse,it is the language to interact with computer.,Mouse buttons,great.,moving mouse fastly.,Somewhat agree,Strongly agree,Somewhat agree,All are great.,Iqqf5Sr5RFdvZNAyxLjhAlKhxKi1,-MGsqwZB5MtWjtsFWOBR,arrow,click,arrow-click
72,4,4,2,5,5,5,5,5,2,2,5,Somewhat agree,6,Strongly agree,6,Strongly agree,2,I can't think of any change to improve it.,Strongly agree,It was very simple to control the object and I can't think of any other improvement the interface needs.,Strongly disagree,Strongly agree,I couldn't find anything to be improved.,Neither agree/nor disagree,38,Female,"Everyday, during a majority of business hours",Rarely,,A trackpad,,Trackpad buttons,,Adding sound effects and changing the colors might improve the interface for better accessibility.,Strongly agree,Strongly disagree,Strongly disagree,No,Iyg0Y81BCTb0vJ1mTGbwtdJjlyu1,-MGz67B2IGCa33dqgr1u,targetdrag,click,targetdrag-click
73,6,7,6,6,7,7,6,7,7,6,6,Strongly agree,6,Strongly agree,7,Somewhat agree,7,nice,Somewhat agree,good,Strongly agree,Strongly agree,NA,Somewhat agree,34,Male,"Everyday, during a majority of business hours","Everyday, a few hours",pubg,A mouse,NA,Mouse buttons,NA,good,Strongly agree,Strongly agree,Somewhat agree,nice,J3PvMl0mnUMKg5wZ4RGS7LqUDHG2,-MGt63TXeTxxwMPA7HvT,drag,press/release,drag-press/release
74,6,5,4,4,5,5,6,5,5,5,5,Somewhat agree,6,Neither agree/nor disagree,4,Somewhat agree,5,that was good,Somewhat agree,not bad,Somewhat agree,Neither agree/nor disagree,no need,Somewhat agree,33,Female,"Everyday, during a majority of business hours","Everyday, less than an hour",shooting games,A mouse,that was good,Mouse buttons,nope,no need,Strongly agree,Somewhat agree,Neither agree/nor disagree,nope,J5mTsJ1QLbe4SEBkLExcr7Uj7wf1,-MGvdHd-HD1e5RwRo8AR,drag,press/release,drag-press/release
75,6,2,3,5,3,5,3,4,4,5,5,Strongly agree,6,Somewhat agree,5,Strongly agree,3,"Nothing, it's already better experience.",Strongly agree,"Nothing, it's already better experience.",Strongly agree,Somewhat agree,"Nothing, it's already better experience",Strongly agree,45,Female,"Everyday, during a majority of business hours","Everyday, a few hours",person computer,A mouse,mouse of the computer it's easy to use moving anything,Mouse buttons,Easy to use,"Nothing, it's already better experience.",Strongly agree,Somewhat agree,Strongly agree,"Nothing, it's already better experience.",K3DabqdJCKZwKflJYUVI8fkJHHB2,-MHORqG7R4QR4FhtII4f,targetdrag,press/release,targetdrag-press/release
76,7,2,2,7,2,3,6,2,1,1,6,Neither agree/nor disagree,7,Strongly agree,7,Strongly agree,4,"the intuitive is perfect, do not need much improvement.",Somewhat agree,i think the interface is perfect.,Strongly disagree,Strongly agree,the interface is perfect and it does not need much improvement.,Somewhat agree,40,Male,"Everyday, during a majority of business hours","Everyday, less than an hour",chess,A mouse,,Mouse buttons,,"the interface requires little creativity, overall the interface was great.",Strongly agree,Somewhat disagree,Somewhat disagree,"the control interface was perfect, and do not need much improvement.",KULAqxV7dJXrJi9xWsVcrLSpPLS2,-MGyozidDUApd8HWOZr_,target,click,target-click
77,5,4,2,4,4,3,4,4,3,3,5,Somewhat agree,6,Strongly agree,5,Strongly agree,3,Not much. The circle around the part could be shrunk down a little.,Somewhat agree,"The ""move"" area is slightly too big and the ""rotate"" area is slightly too small.",Somewhat disagree,Somewhat agree,"Increase the ""rotate"" area.",Somewhat agree,34,Male,"Everyday, a few hours","Everyday, less than an hour","Action RPGs, open-world adventures.",A mouse,Standard mouse with standard buttons and wheel. Nothing fancy.,Mouse buttons,"Occasionally I left-clicked the touchpad while still controlling with the mouse, but I mostly used the mouse for everything.","Make the part bigger and the ""good"" outline as well.",Strongly agree,Somewhat agree,Somewhat agree,"Perhaps make the part a more vivid green when it is ""good.""",KkEQDObrtBT6nZ0N8CMXTcyeHZF3,-MGyzMnNNfBMbrbjWf_k,drag,press/release,drag-press/release
78,3,1,1,3,2,2,1,6,3,2,3,Strongly agree,7,Strongly agree,6,Strongly agree,1,"It's already very easy to use, the only the only thing I can think of is to put L R U D on the arrows for direction but I think that's uneccessary.",Somewhat agree,Maybe if you could click and hold the object instead of having to click once to grab it and once to let go.,Strongly disagree,Neither agree/nor disagree,I did not experience any errors so not sure what could be improved.,Neither agree/nor disagree,35,Female,"Everyday, a few hours","Everyday, a few hours","Puzzle, matching, word, card",A trackpad,I used the trackpad on my HP laptop,Trackpad buttons,My trackpad has buttons but I don't use them because it is easier to just tap the trackpad instead.,I tried to use the touch screen on my laptop to control the object but it did not work for me so I had to use the track pad on my laptop. It would be nice to have the option of touch screen because I think it would be faster and easier.,Strongly agree,Somewhat disagree,Strongly agree,The only thing I had an issue with was sometimes I had trouble rotating the object but that could be because I'm using a track pad and not a mouse.,Ku4Zh1oVsFOEdKu6bEzYY0dtoK22,-MGzQ9tPRNQSPSwuVrKQ,arrow,click,arrow-click
79,6,2,2,6,2,3,6,6,2,1,6,Strongly agree,7,Strongly agree,7,Strongly agree,2,"no, it's much more improved",Strongly agree,it allow very fast to control,Somewhat agree,Strongly agree,by this interface we can surely reduce errors,Strongly agree,29,Male,"Everyday, a few hours","Everyday, less than an hour",Action,A mouse,,Mouse buttons,,very likely,Strongly agree,Strongly disagree,Somewhat agree,"no, it's much more improved",L9pIcRQN0IPr4MEz2ByyRQ1ULLo1,-MGt22T7W_1Ghb6ziK-K,target,click,target-click
80,1,1,1,1,1,1,2,6,1,1,2,Strongly agree,7,Strongly agree,7,Strongly agree,1,"Its pretty simple and straightforward, I can't think of anything off the top to add that would make it better.",Strongly agree,"Don't have the object onscreen at first, wait to render it until the first click.",Strongly disagree,Strongly disagree,I experienced no errors when using the system.,Neither agree/nor disagree,23,Female,"Everyday, during a majority of business hours",Once or twice a week,action rpgs,A mouse,high DPI,Mouse buttons,no notes,I am not differently abled so I am not sure if I can comment on this. ,Strongly agree,Somewhat disagree,Somewhat disagree,"There isn't anything I can think of that would improve the experience, which was very simple. ",LWAzUclg4OZQvYlQ890gYCtGaGz2,-MHO-loCaXVMo_e7TX7W,targetdrag,press/release,targetdrag-press/release
81,5,6,5,7,5,7,6,5,5,6,5,Neither agree/nor disagree,6,Somewhat agree,5,Neither agree/nor disagree,5,YES,Somewhat agree,Yes then faster in mouse,Neither agree/nor disagree,Somewhat agree,no,Somewhat agree,34,Male,"Everyday, a few hours","Everyday, a few hours",PUBG,A mouse,,Mouse buttons,,good ,Somewhat agree,Neither agree/nor disagree,Somewhat agree,yes,LtYWAXgq0PNHphFpqj3c9p32NyF3,-MGysgTG-MZ_5QWD17te,targetdrag,click,targetdrag-click
82,3,1,1,1,1,2,4,2,4,1,2,Neither agree/nor disagree,7,Strongly agree,6,Strongly agree,3,I think it was very good as it was.,Strongly agree,it really was ok with everything I felt.,Strongly disagree,Strongly agree,I did not really get any errors so I am not sure how to answer this,Strongly agree,41,Female,"Everyday, during a majority of business hours","Everyday, a few hours",casino,A mouse,I just use a wireless mouse.,Mouse buttons,just a simple mouse click.,I think it was perfect they way it is.,Strongly agree,Somewhat agree,Strongly disagree,No not at all.,MBnJfrS7Gdei7sLW9U1KA6T2Gwg1,-MHOODQn_jPM12a3iFOi,targetdrag,press/release,targetdrag-press/release
83,6,4,5,4,6,4,6,4,5,6,5,Somewhat agree,4,Neither agree/nor disagree,6,Somewhat agree,5,Add colors,Neither agree/nor disagree,None,Neither agree/nor disagree,Neither agree/nor disagree,None,Somewhat agree,28,Male,"Everyday, during a majority of business hours","Everyday, less than an hour",Adventure,A mouse,Very enjoying,Mouse buttons,Based rules,Compass,Somewhat agree,Somewhat agree,Somewhat agree,add more instructions,Mou7E6f9lhfIxRCHBLICShf3Bd03,-MGyxiQkJAc35cT-lYUW,target,click,target-click
84,7,7,1,7,7,6,7,1,1,1,7,Strongly agree,7,Strongly agree,7,Strongly agree,1,It is also improved,Strongly agree,It was already faster,Strongly disagree,Strongly agree,Nothing,Strongly agree,28,Male,"Everyday, during a majority of business hours","Everyday, a few hours",Online RPG,A mouse,Mouse,Mouse buttons,Mouse buttons,It is improved,Strongly agree,Strongly disagree,Strongly disagree,It is already improved,MsTzeXTiR9YyoxDmAXdwFXzsu3W2,-MGstWExCPCxkZbu3FIa,drag,click,drag-click
85,5,6,4,2,1,2,7,6,1,1,7,Somewhat agree,3,Strongly agree,3,Strongly agree,5,I don't think it can. This is something you actually have to do in order to understand how the interface works.,Strongly agree,I don't think it can. I think the user's skill determines how fast the interface controls the object.,Strongly disagree,Somewhat agree,Maybe make it more sensitive to small movements.,Neither agree/nor disagree,64,Female,"Everyday, during a majority of business hours",Rarely,Mario Carts,A mouse,None. It's just a regular computer mouse.,Mouse buttons,None,I'm not sure if it could be improved for people using an assistive device. ,Strongly agree,Somewhat agree,Neither agree/nor disagree,Maybe make it more sensitive to small movements by the user.,MvlXeT5yEANp814WVmI5ptNCCio2,-MGsp1o3_cKGEXYJvZbb,arrow,press/release,arrow-press/release
86,5,7,4,7,2,6,6,6,1,1,7,Somewhat agree,7,Strongly agree,6,Somewhat agree,4,very improve,Somewhat disagree,NO,Somewhat disagree,Somewhat disagree,NO,Somewhat disagree,37,Female,"Everyday, during a majority of business hours","Everyday, less than an hour",specific computer game,A mouse,no,Mouse buttons,no,NO,Somewhat agree,Strongly agree,Somewhat agree,NO,N0t0P1MgWGapR439S2CEtgPAD5F2,-MGt-s6RXU-MkOhSQKh2,targetdrag,click,targetdrag-click
87,7,7,6,7,7,7,6,7,7,6,7,Somewhat agree,6,Strongly agree,7,Strongly agree,7,nothing,Somewhat agree,nothing,Strongly agree,Somewhat agree,nothing,Strongly agree,30,Male,"Everyday, during a majority of business hours","Everyday, a few hours",gta,A mouse,mouse,Mouse buttons,mouse buttons,nothing,Strongly agree,Strongly agree,Strongly agree,nothing,N2W0GeTOUCZjVJrDtdzNci4bbiD2,-MHPmxfs6CMRqNORedx1,targetdrag,press/release,targetdrag-press/release
88,6,7,6,7,6,7,6,7,6,7,6,Strongly agree,7,Somewhat agree,6,Strongly agree,7,yes,Strongly agree,yes,Strongly agree,Strongly agree,yes,Somewhat agree,41,Male,"Everyday, during a majority of business hours","Everyday, a few hours",ff game,A trackpad,well located,Keyboard,it is located very aptly,yes,Strongly agree,Somewhat agree,Strongly agree,yes,NNdry2x1tIYlnzf3Vj1JoExAa9J3,-MGuKuIxflEAxDvZacYC,arrow,press/release,arrow-press/release
89,1,1,1,1,1,2,2,6,1,2,2,Somewhat agree,6,Somewhat agree,6,Somewhat agree,2,it could be improved with more  color ranges and labels. ,Somewhat agree,"It was perfect, the control was smooth and fast. ",Strongly disagree,Strongly agree,Worked perfecfectly. ,Somewhat agree,29,Female,"Everyday, during a majority of business hours",Once or twice a week,"War, strategy",A mouse,,Trackpad buttons,,it was easy to manipulate the interface. ,Strongly agree,Somewhat disagree,Neither agree/nor disagree,"No, not really. ",NR7tMuiaPHTYbdbxH2hERME1mjp1,-MGstj_4QBsnbjbDQuob,targetdrag,click,targetdrag-click
90,4,3,2,1,1,2,3,2,3,4,3,Neither agree/nor disagree,6,Somewhat agree,7,Strongly agree,2,i thought it was fine the way it was,Somewhat agree,I think it was at a good pace,Neither agree/nor disagree,Somewhat agree,I thought it did well that way it was,Neither agree/nor disagree,45,Female,"Everyday, during a majority of business hours","Everyday, less than an hour",puzzle word games,A mouse,N/A,Mouse buttons,N/A,no improvement needed,Somewhat agree,Somewhat disagree,Somewhat disagree,no ,OFctdcLpXUhdcaMTVUzHoyRPvUF2,-MGspztBTXisaBSWmGOW,targetdrag,click,targetdrag-click
91,6,4,6,6,4,6,6,4,6,4,6,Somewhat agree,4,Neither agree/nor disagree,6,Somewhat agree,5,Noting,Neither agree/nor disagree,nothing,Neither agree/nor disagree,Somewhat disagree,no errors,Neither agree/nor disagree,29,Male,"Everyday, a few hours","Everyday, a few hours",Adventure,A mouse,No,Mouse buttons,no,yes ,Somewhat agree,Neither agree/nor disagree,Somewhat agree,They are good improved,OxpRJHCQbVNkOsMEZSTXuOkKFW42,-MGyqn9IY7D9u4fKGnau,drag,click,drag-click
